                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64588,                 4.5333,                0.12981,                0.77275,                0.55928,                0.54388,                0.25618,                 1.1736,                0.44152,                0.33225,             0.00065185,             0.00065185,             0.00065185
                      2,                0.52846,                 0.5114,                0.08913,                0.27364,                0.09421,                0.09078,                 0.0419,                 1.1569,                0.61133,                0.29137,              0.0013055,              0.0013055,              0.0013055
                      3,                0.55015,                0.58584,                0.09033,                0.27364,                0.09421,                0.09078,                 0.0419,                    nan,                    nan,                    nan,              0.0019459,              0.0019459,              0.0019459
                      4,                0.52849,                0.54582,                 0.0861,                 0.9094,                0.88158,                0.90429,                0.41337,                0.50348,                0.57163,                 0.1023,              0.0019406,              0.0019406,              0.0019406
                      5,                0.52715,                0.55948,                0.08167,                    nan,                0.88158,                0.71312,                0.32652,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      6,                0.53094,                0.53486,                0.08498,                0.87659,                0.88791,                0.91247,                0.46571,                0.49651,                0.64339,                0.09417,              0.0019208,              0.0019208,              0.0019208
                      7,                0.50408,                0.54435,                0.07566,                0.91825,                0.93421,                0.93515,                0.39759,                0.52462,                0.51045,                0.10761,               0.001901,               0.001901,               0.001901
                      8,                0.51019,                0.53078,                0.07922,                    nan,                0.69079,                0.61486,                0.30729,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      9,                0.52117,                0.53294,                0.08302,                    nan,                0.96711,                0.79826,                0.35897,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     10,                0.51928,                0.56093,                0.08188,                    nan,                0.53289,                0.49912,                0.23341,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     11,                0.50664,                0.52668,                0.08259,                0.85191,                0.96053,                0.92424,                0.45181,                0.47688,                0.51372,                0.09371,              0.0018218,              0.0018218,              0.0018218
                     12,                0.49008,                0.53763,                 0.0779,                0.80661,                0.87808,                0.90129,                0.45016,                 0.4635,                0.56795,                0.09019,               0.001802,               0.001802,               0.001802
                     13,                0.48694,                 0.5535,                0.07655,                0.77295,                0.65789,                0.68386,                 0.3107,                0.55487,                 0.8511,                 0.1147,              0.0017822,              0.0017822,              0.0017822
                     14,                0.49321,                0.54872,                0.07491,                0.83604,                0.82895,                0.87376,                0.44095,                0.47843,                 0.5761,                0.09096,              0.0017624,              0.0017624,              0.0017624
                     15,                0.48423,                0.53478,                0.07312,                0.86078,                  0.875,                0.90882,                0.48568,                0.44488,                 0.5593,                0.08653,              0.0017426,              0.0017426,              0.0017426
                     16,                0.46813,                0.52062,                0.07079,                0.93477,                0.84846,                0.92664,                0.42415,                0.48419,                0.50559,                0.09802,              0.0017228,              0.0017228,              0.0017228
                     17,                0.46042,                 0.5164,                0.07052,                0.90523,                0.81579,                0.89242,                0.36789,                0.52112,                0.59578,                0.11225,               0.001703,               0.001703,               0.001703
                     18,                0.48183,                0.50136,                0.07336,                    nan,                0.97368,                0.91833,                0.46661,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     19,                0.47446,                0.49956,                0.07088,                0.90594,                0.84211,                 0.9041,                0.44386,                0.47235,                 0.5149,                0.09402,              0.0016634,              0.0016634,              0.0016634
                     20,                0.47278,                0.49179,                0.07225,                    nan,                0.97368,                0.90556,                0.48017,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     21,                0.47868,                0.47813,                0.07347,                0.92582,                0.90323,                0.92517,                0.48486,                0.45642,                 0.5257,                  0.087,              0.0016238,              0.0016238,              0.0016238
