                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5628,                 4.6952,                 1.2577,                0.00504,                0.89474,                0.68855,                0.25745,                 1.4986,                 6.6418,                 1.2926,             0.00065497,             0.00065497,             0.00065497
                      2,                 1.4849,                 2.8468,                 1.2715,                0.87431,                0.83553,                0.88932,                0.42219,                  1.667,                 2.1559,                 1.4109,              0.0013086,              0.0013086,              0.0013086
                      3,                 1.5147,                 2.1065,                  1.311,                0.92738,                0.88158,                0.92206,                0.44749,                 1.6848,                 1.8113,                 1.4528,              0.0019489,              0.0019489,              0.0019489
                      4,                 1.5117,                 1.6544,                 1.2962,                0.93799,                0.93421,                0.93625,                0.45289,                 1.6422,                 1.6522,                 1.4495,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4344,                 1.2619,                 1.2493,                 0.8859,                0.94079,                0.92001,                0.42834,                 1.7264,                  1.029,                 1.4595,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4705,                 1.1027,                 1.2752,                0.86841,                0.91174,                0.91338,                0.43395,                  1.695,                 1.0881,                 1.4695,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4497,                0.98339,                 1.2562,                0.88211,                0.92763,                0.88869,                0.38494,                 1.7491,                  1.039,                 1.4971,               0.001901,               0.001901,               0.001901
                      8,                 1.4362,                0.91208,                 1.2613,                0.88993,                0.90789,                 0.8758,                0.41231,                 1.6981,                0.90419,                 1.4405,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4603,                0.87578,                 1.2624,                0.87835,                0.92763,                0.90216,                0.44377,                 1.6312,                0.83322,                 1.4253,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4489,                0.85002,                 1.2552,                0.91258,                0.94737,                0.92179,                0.45792,                 1.7187,                0.78149,                 1.4603,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4434,                0.80225,                 1.2618,                0.90562,                0.94688,                0.91976,                0.45334,                 1.6449,                0.77183,                  1.408,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4324,                0.76767,                 1.2618,                0.90264,                0.94079,                0.90784,                  0.467,                 1.6421,                0.79146,                 1.4105,               0.001802,               0.001802,               0.001802
                     13,                 1.4013,                0.72612,                 1.2363,                0.92085,                0.95395,                0.93866,                0.44573,                 1.7777,                 0.7198,                 1.4777,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4007,                0.70832,                 1.2348,                 0.9163,                0.92763,                0.91803,                0.42933,                 1.7538,                0.79006,                 1.4634,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3823,                0.72039,                  1.238,                0.91342,                0.94079,                0.91793,                0.45501,                 1.6425,                0.73862,                 1.3965,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4313,                0.71961,                   1.26,                0.91181,                0.96711,                0.91482,                0.40134,                 1.8138,                0.79602,                  1.512,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3987,                 0.6864,                   1.24,                0.89158,                0.92763,                0.89898,                0.41914,                 1.8188,                0.76399,                 1.5401,               0.001703,               0.001703,               0.001703
                     18,                 1.4137,                0.69853,                 1.2593,                0.91344,                0.94737,                0.91807,                  0.406,                 1.8674,                0.77326,                 1.5398,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4003,                0.66315,                 1.2457,                0.89493,                0.96711,                0.91851,                0.43081,                 1.7916,                0.72016,                 1.4993,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3794,                0.65103,                 1.2382,                0.90396,                0.95395,                 0.9104,                0.42243,                 1.7692,                0.69476,                  1.496,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3758,                0.64741,                 1.2333,                0.90731,                0.96596,                0.91183,                0.45691,                 1.6342,                 0.6771,                 1.3829,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.3694,                 0.6401,                 1.2248,                0.92338,                0.95149,                0.93258,                0.43198,                 1.8239,                0.72984,                 1.5394,               0.001604,               0.001604,               0.001604
                     23,                 1.3686,                0.63962,                 1.2393,                0.91043,                0.94737,                0.90218,                0.38754,                 1.9116,                0.73844,                 1.6017,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.3764,                0.63172,                 1.2315,                0.88998,                0.95794,                0.90352,                0.42201,                 1.7289,                0.70096,                 1.4485,              0.0015644,              0.0015644,              0.0015644
