                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4808,                 3.0725,                 6.5015,                 1.0676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.0411,                 2.6724,                 5.5904,                 1.0092,             0.00064957,             0.00064957,             0.00064957
                      2,                  2.407,                 2.8753,                  4.713,                 1.0168,                0.00304,                0.20398,                0.01611,                0.00623,                0.00478,                 0.3209,                0.00772,                0.00344,                 2.1885,                 3.0199,                 4.4335,                 1.0424,              0.0013032,              0.0013032,              0.0013032
                      3,                 2.3124,                 2.7055,                 3.7328,                 1.0153,                 0.4099,                0.33582,                0.30548,                0.09061,                0.36631,                0.27861,                0.22337,                0.05564,                 2.4286,                 3.2625,                 2.6801,                 1.1039,              0.0019436,              0.0019436,              0.0019436
                      4,                 2.3182,                 2.7159,                 3.1713,                 1.0135,                0.47581,                0.55473,                0.46937,                0.16449,                0.42673,                0.47512,                0.37419,                0.11036,                 2.1798,                 2.8742,                 2.0033,                 1.0447,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.2914,                 2.7095,                 2.7261,                  1.037,                0.50302,                0.52369,                0.46442,                0.17001,                0.46941,                0.46656,                0.41558,                0.12696,                  2.058,                 2.6415,                 2.0142,                 1.0204,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.2763,                 2.6042,                 2.3356,                0.99739,                0.57951,                0.50397,                0.51175,                0.18298,                0.50515,                0.47486,                 0.4468,                0.14287,                 2.1486,                 2.6476,                 1.7507,                  1.026,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.1938,                 2.5697,                 1.9026,                 1.0131,                0.28258,                0.33831,                0.18581,                 0.0513,                0.20386,                0.22637,                0.09708,                0.02513,                 2.4416,                 3.3373,                 2.3312,                 1.0743,               0.001901,               0.001901,               0.001901
                      8,                 2.1847,                 2.5126,                 1.8446,                0.99559,                0.63992,                0.54726,                0.56408,                0.20092,                0.58493,                0.47015,                0.49487,                0.16174,                 2.1087,                 2.6037,                 1.5211,                 1.0106,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1498,                 2.4966,                 1.7059,                0.99263,                0.53051,                0.51493,                 0.4834,                0.16597,                0.37609,                 0.3806,                0.29575,                0.08394,                  2.143,                 2.7225,                 1.7379,                 1.0097,              0.0018614,              0.0018614,              0.0018614
                     10,                  2.129,                 2.4503,                 1.5752,                0.96718,                0.65162,                0.58161,                0.60373,                 0.2227,                0.54628,                0.49502,                0.47249,                0.13878,                 2.0731,                 2.6547,                 1.4814,                  1.007,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.0915,                 2.3805,                 1.4846,                0.97541,                0.56441,                 0.5199,                  0.524,                0.18718,                0.50836,                0.43213,                0.41642,                0.12258,                  2.133,                 2.5396,                  1.589,                 1.0182,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0846,                 2.4335,                  1.434,                0.96928,                0.67032,                0.55131,                0.57442,                0.21332,                0.59283,                0.49502,                0.48228,                0.15009,                 2.0588,                 2.3699,                 1.4385,                0.99856,               0.001802,               0.001802,               0.001802
                     13,                 2.1221,                 2.4652,                 1.4359,                0.96865,                0.62338,                0.61194,                0.57797,                0.19484,                0.50735,                 0.5199,                 0.4374,                0.13322,                 2.1412,                 2.5486,                 1.4894,                 1.0152,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0615,                 2.3576,                 1.3757,                0.97769,                0.57091,                0.52985,                0.51262,                0.18292,                0.44946,                0.41045,                0.34855,                0.09939,                 2.2057,                 2.9939,                 1.4872,                 1.0297,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0538,                 2.4132,                 1.3681,                0.95594,                0.62471,                0.65174,                0.62412,                0.22921,                0.48988,                0.47015,                0.40672,                0.12952,                 2.0797,                 2.6201,                 1.3197,                 1.0034,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0604,                 2.3814,                 1.3387,                0.96782,                0.67186,                0.60199,                 0.6201,                 0.2017,                0.48863,                0.43781,                0.37538,                0.10739,                 2.1236,                 2.5994,                 1.4282,                 1.0159,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0665,                  2.354,                 1.3559,                0.96049,                0.63109,                0.56468,                0.57177,                0.20157,                0.48763,                0.42141,                0.41348,                0.13122,                 2.1909,                 2.5758,                 1.4437,                 1.0156,               0.001703,               0.001703,               0.001703
