                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6831,                 2.3557,                 1.1082,                0.00596,                0.98171,                0.14906,                0.06668,                 1.5651,                 3.1611,                 1.1389,             0.00065778,             0.00065778,             0.00065778
                      2,                 1.5802,                 1.3629,                 1.1071,                0.90548,                0.87624,                0.90079,                0.40692,                 1.8116,                 1.3077,                   1.27,              0.0013113,              0.0013113,              0.0013113
                      3,                 1.5788,                 1.2363,                 1.1004,                0.93356,                0.82317,                0.91374,                0.41807,                 1.6658,                  1.201,                 1.2001,              0.0019517,              0.0019517,              0.0019517
                      4,                  1.563,                  1.131,                 1.1054,                0.88318,                0.69152,                0.84726,                0.41286,                 1.6471,                 1.2053,                 1.1728,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5584,                 1.0437,                 1.0921,                0.90479,                0.86916,                 0.9202,                0.38473,                 1.7686,                 1.1655,                  1.249,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5371,                0.96416,                 1.0824,                0.92935,                0.88227,                0.93302,                0.45074,                 1.6498,                0.95719,                 1.1823,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5307,                0.90481,                 1.0769,                0.96807,                0.92433,                0.96876,                0.48993,                 1.5812,                0.93293,                 1.1412,               0.001901,               0.001901,               0.001901
                      8,                 1.5095,                0.88356,                 1.0804,                 0.9246,                0.87805,                0.91411,                0.39319,                 1.6808,                 1.0088,                 1.2162,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.5126,                0.87831,                 1.0807,                0.89469,                0.88065,                0.92325,                0.45302,                 1.6122,                0.89525,                 1.1652,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5296,                0.87532,                 1.0869,                0.93273,                0.90244,                0.95444,                 0.4612,                 1.7081,                0.81266,                 1.1767,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5269,                 0.8715,                 1.0859,                0.95661,                0.94108,                0.96156,                0.43949,                 1.7607,                0.81233,                 1.2126,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5049,                0.83001,                 1.0643,                0.92231,                0.90854,                0.94572,                 0.4704,                 1.6143,                0.91859,                 1.1415,               0.001802,               0.001802,               0.001802
                     13,                 1.4798,                0.83943,                 1.0571,                0.95012,                0.89634,                0.94502,                 0.4542,                  1.722,                0.80866,                 1.2115,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4868,                0.83416,                 1.0591,                0.93417,                0.91463,                0.95224,                0.46497,                 1.7143,                0.78732,                 1.2057,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4752,                0.78284,                  1.065,                0.96643,                0.90244,                0.96053,                0.50687,                   1.63,                0.72908,                 1.1359,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4932,                0.79803,                 1.0646,                0.96729,                0.90163,                0.95599,                0.50044,                 1.6187,                0.78731,                 1.1419,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4404,                0.77168,                 1.0482,                0.94952,                0.91748,                0.94978,                0.41394,                  1.795,                0.79738,                  1.272,               0.001703,               0.001703,               0.001703
                     18,                 1.4628,                0.76185,                 1.0523,                0.96157,                0.92073,                0.95518,                0.48012,                 1.6354,                0.73793,                 1.1584,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4724,                0.75905,                  1.059,                0.98052,                0.92088,                 0.9557,                0.48976,                 1.6212,                0.75967,                 1.1565,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4532,                0.73934,                 1.0472,                0.94378,                0.92683,                0.95085,                0.42356,                 1.7541,                0.81815,                 1.2276,              0.0016436,              0.0016436,              0.0016436
