                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.614,                 3.2752,                 1.3808,                0.27715,                0.97368,                0.78998,                0.35452,                 1.4438,                 3.2916,                 1.3187,                 0.0704,              0.0032889,              0.0032889
                      2,                  1.471,                 1.3499,                 1.2431,                0.79678,                0.77386,                0.84211,                0.39304,                 1.6198,                 1.7792,                 1.4366,               0.040398,              0.0066206,              0.0066206
                      3,                 1.5014,                 1.4528,                 1.2344,                0.88253,                0.88972,                0.89968,                0.46527,                  1.611,                 1.1393,                 1.3556,                0.01039,              0.0099458,              0.0099458
                      4,                 1.5071,                 1.3158,                 1.2637,                0.83943,                0.88158,                0.85869,                0.34573,                  1.815,                 1.4378,                 1.6232,               0.009978,               0.009978,               0.009978
                      5,                 1.4587,                   1.17,                 1.2406,                0.90386,                0.91447,                0.93406,                0.47629,                 1.5659,                 1.1392,                 1.3449,               0.009978,               0.009978,               0.009978
                      6,                 1.4435,                 1.0767,                 1.2455,                0.82504,                0.86842,                0.89474,                0.39255,                  1.774,                 1.0776,                 1.4769,               0.009961,               0.009961,               0.009961
                      7,                 1.4619,                0.98214,                 1.2456,                0.86813,                0.96711,                0.92319,                0.46968,                 1.6247,                0.91339,                  1.443,              0.0099391,              0.0099391,              0.0099391
                      8,                 1.4479,                0.89922,                 1.2549,                0.84688,                0.94609,                0.90377,                0.43661,                 1.6281,                0.89709,                 1.4321,              0.0099123,              0.0099123,              0.0099123
                      9,                 1.4627,                0.89411,                 1.2679,                0.87515,                0.91447,                0.92804,                0.43691,                 1.6427,                 1.0841,                 1.4622,              0.0098808,              0.0098808,              0.0098808
                     10,                  1.435,                0.86558,                 1.2504,                0.90884,                0.91827,                0.92274,                0.44604,                 1.7709,                 0.8094,                 1.5404,              0.0098445,              0.0098445,              0.0098445
